YAL001C,0,1161,0.00468,0.035,0.68419
YAL002W,1,1275,0.00226,0.025,0.64727
YAL003W,2,207,0.02501,0.375,0.97883
YAL004W,3,216,#N/A,#N/A,#N/A
YAL005C,4,643,#N/A,#N/A,#N/A
YAL007C,5,216,0.01118,0.085,0.94416
YAL008W,6,199,0.02323,0.135,0.93164
YAL012W,10,395,0.02119,0.165,0.89604
YAL013W,11,421,0.01536,0.085,0.85023
YAL014C,12,256,0.0098,0.045,0.89464
YAL015C,13,400,0.01055,0.055,0.8643
YAL016W,15,636,0.01438,0.105,0.8213
YAL017W,16,1357,0.00581,0.045,0.63828
YAL018C,17,326,0.02025,0.135,0.90446
YAL019W-A,18,190,0.00787,0.045,0.93524
YAL019W,19,1132,#N/A,#N/A,#N/A
YAL020C,20,334,0.01567,0.075,0.88309
YAL021C,21,838,0.01268,0.075,0.75368
YAL022C,22,518,0.017,0.095,0.82159
YAL023C,23,760,0.01665,0.145,0.82103
YAL024C,24,1436,0.00515,0.045,0.61549
YAL025C,25,307,0.01692,0.115,0.91518
YAL026C,27,1356,#N/A,#N/A,#N/A
YAL027W,28,262,0.01784,0.105,0.90676
YAL028W,29,529,0.00851,0.045,0.82156
YAL029C,30,1472,0.00224,0.025,0.64028
YAL030W,31,118,0.01909,0.115,0.95352
YAL031C,32,761,0.00873,0.055,0.77851
YAL032C,34,380,0.01508,0.085,0.87267
YAL033W,35,174,0.01965,0.095,0.93305
YAL034C-B,36,118,0.00588,0.035,0.96195
YAL034C,37,414,#N/A,#N/A,#N/A
YAL034W-A,38,290,#N/A,#N/A,#N/A
YAL035W,39,1003,0.01166,0.105,0.79599
YAL036C,40,370,0.01788,0.125,0.89696
YAL037C-A,42,31,#N/A,#N/A,#N/A
YAL037W,43,268,0.01588,0.075,0.9001
YAL038W,44,501,0.01599,0.215,0.93341
YAL039C,45,270,0.01757,0.095,0.91578
YAL040C,46,581,0.00478,0.035,0.84962
YAL041W,47,855,0.00959,0.055,0.73662
YAL042W,49,416,0.01984,0.135,0.85869
YAL043C,50,786,0.01108,0.065,0.7493
YAL045C,53,103,0.02279,0.095,0.95039
YAL046C,54,119,0.01755,0.095,0.9559
YAL047C,55,623,0.01331,0.085,0.80224
YAL048C,57,663,0.00866,0.055,0.81167
YAL049C,58,247,0.02023,0.135,0.93615
YAL051W,59,1048,0.0103,0.075,0.7178
YAL053W,60,784,0.01514,0.105,0.77342
YAL054C,61,714,0.01453,0.135,0.83644
YAL055W,62,181,0.03332,0.185,0.93291
YAL056W,64,881,0.0066,0.045,0.75084
YAL058W,65,503,0.00981,0.055,0.8473
YAL061W,69,418,0.0089,0.055,0.88351
YAR047C,100,107,0.03833,0.225,0.95351
YAR050W,101,1538,0.00309,0.035,0.70971
YAR053W,102,99,0.0413,0.255,0.95941
YAR060C,103,112,0.02682,0.145,0.96022
YAR064W,104,100,0.02972,0.135,0.96109
YAR066W,105,204,#N/A,#N/A,#N/A
YAR068W,106,162,0.02568,0.105,0.9187
YAR069C,107,98,#N/A,#N/A,#N/A
YAR070C,108,100,0.03913,0.215,0.95779
YAR071W,109,468,0.02058,0.175,0.8966
YAR073W,110,404,0.02022,0.155,0.91118
YAR075W,111,158,0.05171,0.765,0.96613
YBL001C,112,105,0.02777,0.275,0.9753
YBL004W,115,2494,0.00516,0.045,0.45092
YBL005W,116,977,0.01083,0.075,0.737
YBL006C,117,181,0.02843,0.125,0.91739
YBL007C,118,1245,0.00797,0.065,0.72065
YBL008W,119,841,0.00674,0.045,0.77372
YBL009W,120,677,0.00786,0.055,0.80986
YBL010C,121,281,0.01667,0.095,0.91518
YBL011W,122,760,0.00906,0.065,0.79882
YBL012C,123,134,0.03915,0.215,0.94115
YBL013W,124,402,0.01304,0.065,0.86255
YBL014C,125,895,0.00278,0.025,0.7447
YBL015W,126,527,0.02059,0.135,0.85017
YBL016W,127,354,0.0157,0.075,0.87646
YBL017C,128,1580,0.00128,0.015,0.634
YBL018C,129,134,0.0329,0.215,0.96302
YBL019W,130,521,0.01061,0.065,0.83325
YBL020W,131,575,0.01835,0.115,0.83125
YBL021C,132,145,0.02759,0.125,0.94792
YBL022C,133,1134,0.01101,0.085,0.73008
YBL023C,134,869,0.01174,0.085,0.78695
YBL024W,135,685,0.01511,0.115,0.84486
YBL025W,136,146,0.025,0.125,0.94984
YBL026W,137,96,0.02605,0.185,0.97417
YBL027W,138,190,0.01246,0.155,0.97156
YBL028C,139,107,0.02475,0.245,0.98249
YBL029W,141,377,#N/A,#N/A,#N/A
YBL030C,142,319,0.01871,0.175,0.94333
YBL031W,143,339,0.01115,0.065,0.90445
YBL032W,144,382,0.01336,0.085,0.89268
YBL033C,145,346,0.01717,0.085,0.8792
YBL034C,146,1514,0.0085,0.065,0.62364
YBL035C,147,706,0.01013,0.065,0.80217
YBL036C,148,258,0.0201,0.135,0.93455
YBL037W,149,1026,0.01184,0.085,0.70656
YBL038W,150,233,0.0155,0.095,0.93547
YBL039C,151,580,0.01532,0.115,0.87216
YBL040C,152,220,0.01711,0.105,0.93738
YBL041W,153,242,0.01986,0.115,0.93172
YBL042C,154,640,0.01887,0.125,0.82536
YBL043W,155,258,0.02498,0.145,0.92663
YBL044W,156,123,0.03083,0.165,0.95566
YBL045C,157,458,0.01914,0.165,0.8941
YBL047C,159,1382,0.00401,0.035,0.6744
YBL048W,160,104,0.05218,0.885,0.96673
YBL049W,161,139,0.0272,0.145,0.95264
YBL050W,162,293,0.01522,0.095,0.91269
YBL051C,163,669,0.00818,0.055,0.83708
YBL052C,164,832,0.00354,0.025,0.78232
YBL053W,165,125,0.02629,0.105,0.94847
YBL054W,166,526,0.00781,0.055,0.84356
YBL055C,167,419,0.01932,0.115,0.86897
YBL056W,168,469,0.0135,0.095,0.88405
YBL057C,169,215,0.01713,0.105,0.93471
YBL058W,170,424,0.01924,0.125,0.88479
YBL059W,172,194,0.02132,0.115,0.93361
YBL060W,173,688,0.00844,0.055,0.80553
YBL061C,174,697,0.00804,0.055,0.79419
YBL062W,175,127,0.03512,0.185,0.95058
YBL063W,176,1112,0.00812,0.055,0.69199
YBL064C,177,262,0.02305,0.175,0.92853
